번호,발전기명,설비용량(MW),광역지역,세부지역,latitude,longitude,nearest_site_name,bell
4600,간성흘리에코태양광,0.98892,강원,강원 고성군 간성읍,38.378384,128.46686,속초,True
49177,율이서태양광,0.996,강원,강원 철원군 율이리,38.219307,127.17845,철원,True
64786,제일솔라1호태양광,0.4896,강원,강원 강릉시 사천면,37.82353,128.84872,강릉,False
65870,백산태양광발전기,0.996,강원,강원 태백시 백산동,37.146744,129.04837,태백,True
1408,백광영월태양광,0.996,강원,강원 영월군 문곡리,37.23179,128.42935,영월,True
1407,백광영월신재생,0.998,강원,강원 영월군 문곡리,37.23179,128.42935,영월,True
61397,춘천태양광,2.898,강원,강원 춘천시 송암동,37.855312,127.69673,춘천,True
68062,춘천정비부대태양광#2,0.418,강원,강원 춘천시 신동면,37.817696,127.71603,춘천,True
68064,춘천정비부대태양광#1,0.501,강원,강원 춘천시 신동면,37.817696,127.71603,춘천,True
24268,배두둑 태양광,0.09747,강원,강원 평창군 대화면,37.500946,128.45805,정선군,False
15394,대선태양광발전소,0.8812,강원,강원 원주시 소초면,37.41796,128.0024,원주,False
260,방동태양광,2.7922,강원,강원 삼척시 하장면,37.34944,128.94307,태백,False
61389,춘천MBC태양광,1.494,강원,강원 춘천시 수변공원길,37.874203,127.70602,춘천,True
56393,최강일태양광,2.00124,강원,강원 영월군 상동읍,37.13188547,128.834203,태백,True
49176,율이동태양광,0.996,강원,강원 철원군 철원읍,38.212097,127.212746,철원,True
2122,율이리태양광,2.03904,강원,강원 철원군 철원읍,38.212097,127.212746,철원,True
28465,삼척태양광,2.2032,강원,강원 삼척시 근덕면,37.37928,129.22583,동해,True
64774,피브이플랜트6호,0.8987200000000001,강원,강원 횡성군 갑천면,37.560955,128.1102,홍천,True
2318,준규솔라태양광,3.00352,강원,강원 홍천군 내면,37.77381,128.38974,대관령,False
4627,현대인구리태양광발전소,2.0169,강원,강원 양양군 현남면,37.96923,128.75948,강릉,True
35594,순자태양광발전소,0.09928,강원,강원 영월군 남면,37.186546,128.4045,영월,False
35108,황지태양광,0.048,강원,강원 태백시,37.16401,128.98572,태백,True
1203,덕원영월태양광,0.998,강원,강원 영월군 문곡리,37.23179,128.42935,영월,True
33505,소매곡리태양광,0.3429999999999999,강원,강원 홍천군 북방면,37.70557,127.85318999999998,홍천,True
56155,SW1 태양광 발전기,2.29383,강원,강원 홍천군 내면,37.77381,128.38974,대관령,True
36308,동그라미태양광,0.98728,강원,강원 삼척시 하장면,37.34944,128.94307,태백,False
38546,썬플러스 7호,1.4976,강원,강원 고성군 토성면,38.25729,128.5589,속초,True
29655,서강2호 태양광,0.49932,강원,강원 강릉시 강동면,37.728096,128.95422,강릉,False
56113,서강3호 태양광,0.49932,강원,강원 강릉시 강동면,37.728096,128.95422,강릉,False
56207,자등2태양광발전소,0.49896,강원,강원 철원군 서면,38.16465,127.41571,철원,True
56408,kt원주연수원 태양광,0.3216,강원,강원 원주시 행구덕현길,37.33709,127.99869,원주,True
29656,서강레미콘 태양광,0.2964,강원,강원 강릉시 강동면,37.728096,128.95422,강릉,False
7928,도마리1호태양광,2.106,강원,강원 강릉시 왕산면,37.672684,128.8378,강릉,True
328,(유)선그린태백5호,0.8532,강원,강원도 태백시 통동,37.164215,129.01923,태백,False
18280,동해바이오화력본부 태양광,1.992,강원,강원도 동해시,37.524742,129.1143,동해,False
2191,자혜태양광,0.99495,강원,강원 양구군 해안면,38.285168,128.13713,인제,False
18270,동해시하수종말처리장태양광,2.417,강원,강원 동해시 공단1로,37.48127,129.15366,동해,False
4083,SD에너지태양광,1.4994,강원,강원 인제군 인제읍,38.07039,128.17221,인제,True
4202,SKY 태양광,0.29784,강원,강원 강릉시 강동면,37.728096,128.95422,강릉,False
56309,이에스파워1호,2.74752,강원,강원 정선군 북평면,37.448895,128.67049,정선군,False
38687,씨그마렌텍2영월태양광,1.76679,강원,강원 영월군 남면,37.186546,128.4045,영월,False
38688,씨그마렌텍3원주태양광,2.38734,강원,강원 원주시 호저면,37.411034,127.925705,원주,False
56449,화암태양광발전소 10호기,0.0992,강원,강원 정선군 화암면,37.340126,128.78778,정선군,False
28494,삼포태양광발전소,0.0992,강원,강원도 춘천시 신동면,37.817696,127.71603,춘천,False
56208,자등1태양광발전소,0.49896,강원,강원 철원군 서면,38.16465,127.41571,철원,True
787,가곡솔라태양광,0.99756,강원,강원 삼척시 가곡면,37.149757,129.20522,태백,False
56310,이에쓰태양광,1.423,강원,강원 고성군 거진읍,38.43614,128.45256,속초,False
355,솔라파크원주태양광,1.91808,강원,강원 원주시 부론면,37.207603,127.750496,원주,True
31483,섬진2호태양광,0.4788,강원,강원 평창군 평창읍,37.3689,128.39723,영월,False
5695,현천리태양광,0.80512,강원,강원 횡성군 둔내면,37.512215,128.21883,원주,False
1524,삼호태양광발전,2.001,강원,강원 삼척시 원덕읍,37.176456,129.33572,울진,False
64307,포천파워소내태양광,0.664,경기,경기 포천시 창수면,37.991734,127.18912,동두천,True
56023,디티이엔비 1호 태양광,1.49796,경기,경기 안성시 삼죽면,37.07478912,127.3892005,이천,True
56399,화성KC2호 태양광발전기,4.17582,경기,경기도 화성시 송산면,37.217804,126.73916,장수,False
29881,석정태양광발전소,0.19832,경기,경기 평택시 포승읍,36.98282,126.885315,천안,True
64251,포곡55사단태양광,0.99648,경기,경기 용인시 처인구,37.234306,127.201355,구미,True
2644,평택서부공설운동장태양광,0.753,경기,경기 평택시 청북면,37.039814,126.93427,수원,True
29864,평택2복합태양광,0.455,경기,경기 평택시 포승읍,36.98282,126.885315,천안,True
34385,송인태양광,2.4786,경기,경기 연천군 미산면,38.047478,126.99293,동두천,True
56200,에버그린태양광,2.4786,경기,경기 연천군 미산면,38.047478,126.99293,동두천,True
44821,옻골 태양광발전소,0.25935,경기,경기 화성시 송산면,37.217804,126.73916,장수,True
1854,에스디해바라기 태양광발전소 3호,2.2977,경기,경기 이천시 율면,37.09431,127.546455,이천,True
39379,에너지타운 태양광,0.23676,경기,경기 안산시 단원구,37.321148,126.81532,장수,False
56409,케이티화성송신소태양광,2.98485,경기,경기 화성시 서신면,37.166573,126.70873,인천,True
56130,주식회사 성진2호태양광발전소,0.432,경기,경기도 화성시 장안면,37.079765,126.83133,수원,False
930,3군사태양광,1.464,경기,경기 용인시 처인구,37.234306,127.201355,구미,True
