번호,발전기명,설비용량(MW),광역지역,세부지역
56366,지티씨솔라2호,1.99485,강원,강원 철원군 갈말읍
56351,금광태양광,0.99792,강원,강원 강릉시 사천면
1842,에너솔라태양광,0.36,강원,강원 춘천시 남산면
56012,백운태양광발전소,2.47248,강원,강원 평창군 봉평면
29873,안산목내태양광,0.18,경기,경기 안산시 단원구
1944,린컴퍼니태양광,0.402,경기,경기 이천시 부발읍
19801,디와이뱅크9호태양광,0.7488,경기,경기 안성시 원곡면
930,3군사태양광,1.464,경기,경기 용인시 처인구
68158,해승태양광,0.99645,경기,경기 양평군 강하면
56395,케이디솔라포천발전소1,0.99792,경기,경기 포천시 창수면
29872,안산와동태양광,0.21,경기,경기 안산시 단원구
4708,케이씨씨 여주태양광 제4발전소,1.11033,경기,경기 여주시 가남읍
15017,대륜발전1호태양광,0.25,경기,경기 의정부시 민락로
56142,솔라팩토리3태양광,1.30176,경기,경기 포천시 창수면
48750,행죽태양광,1.75329,경기,경기 이천시 설성면
21712,모든태양광,0.3942,경기,경기 안성시 미양면
55930,게이트원햇빛발전소,0.49302,경기,경기 여주시 대신면
61786,카피어솔라태양광,0.49533,경기,경기 파주시 파주읍
4618,디에스4호,0.82656,경기,경기 연천군 미산면
61888,광명전기태양광,0.5,경기,경기 안산시 단원구
13404,농심포승태양광,1.27,경기,경기 평택시 포승읍
67825,강북아리수정수장태양광,2.8,경기,경기 남양주시 삼패동
56224,에이치알태양광발전소,2.07296,경기,경기 화성시 우정읍
35123,덕소정수장정수지태양광,1.012,경기,경기 남양주시 와부읍
37042,신세계구성태양광,0.462,경기,경기 용인시 기흥구
34333,송영훈 태양광,2.00022,경기,경기도 연천군 미산면
2591,팜스코태양광,2.99,경기,경기 이천시 부발읍
17971,트윈시스템태양광,0.52,경기,경기 시흥시 정왕동
48631,(유)방장 태양광발전소,0.99792,경기,경기 여주시 점동면
56211,에스엘태양광,1.90242,경기,경기 안성시 삼죽면
1880,에스에이치에너지태양광,1.45,경기,경기 광주시 곤지암읍
2134,의정부행복태양광,2.241,경기,경기 의정부시 장곡로
38934,아리랑태양광발전소 주식회사,1.99584,경기,경기 여주시 대신면
