,번호,발전기명,설비용량(MW),광역지역,세부지역,latitude,longitude,bell,지점0,지점번호0,latitude(지점)0,longitude(지점)0,지점1,지점번호1,latitude(지점)1,longitude(지점)1,지점2,지점번호2,latitude(지점)2,longitude(지점)2
61,21124,철원3태양광,1.37376,강원,강원 철원군 갈말읍,38.147724,127.308304,TRUE,속초,90,38.25085,128.56473,인제,211,38.05986,128.16714,철원,95,38.14787,127.3042
62,56366,지티씨솔라2호,1.99485,강원,강원 철원군 갈말읍,38.147724,127.308304,TRUE,속초,90,38.25085,128.56473,인제,211,38.05986,128.16714,철원,95,38.14787,127.3042
63,1293,디에스태양광3호,0.97236,강원,강원 철원군 갈말읍,38.147724,127.308304,TRUE,속초,90,38.25085,128.56473,인제,211,38.05986,128.16714,철원,95,38.14787,127.3042
64,56016,디에스태양광5호,0.97236,강원,강원 철원군 갈말읍,38.147724,127.308304,TRUE,속초,90,38.25085,128.56473,인제,211,38.05986,128.16714,철원,95,38.14787,127.3042
65,45883,용화에너지 태양광발전기,0.868,강원,강원 영월군,37.183685,128.46178,TRUE,영월,121,37.18126,128.45743,정선군,217,37.38149,128.6459,봉화,271,36.94361,128.91449
66,12496,영월복합태양광#1,0.055,강원,강원 영월군,37.183685,128.46178,TRUE,영월,121,37.18126,128.45743,정선군,217,37.38149,128.6459,봉화,271,36.94361,128.91449
67,4628,내린천3태양광,2.50074,강원,강원 홍천군 내면,37.77381,128.38974,TRUE,대관령,100,37.67713,128.71834,인제,211,38.05986,128.16714,홍천,212,37.6836,127.88043
68,1460,내린천4태양광,2.08512,강원,강원 홍천군 내면,37.77381,128.38974,TRUE,대관령,100,37.67713,128.71834,인제,211,38.05986,128.16714,홍천,212,37.6836,127.88043
69,1461,내린천태양광,1.41696,강원,강원 홍천군 내면,37.77381,128.38974,TRUE,대관령,100,37.67713,128.71834,인제,211,38.05986,128.16714,홍천,212,37.6836,127.88043
70,56155,SW1 태양광 발전기,2.29383,강원,강원 홍천군 내면,37.77381,128.38974,TRUE,대관령,100,37.67713,128.71834,인제,211,38.05986,128.16714,홍천,212,37.6836,127.88043
71,40501,문막포진리 태양광발전소 4호,0.99792,강원,강원 원주시 문막읍,37.312626,127.8172,TRUE,원주,114,37.33749,127.94659,이천,203,37.26399,127.48421,충주,127,36.97045,127.9525
72,1644,원주메탈1기태양광,0.49896,강원,강원 원주시 문막읍,37.312626,127.8172,TRUE,원주,114,37.33749,127.94659,이천,203,37.26399,127.48421,충주,127,36.97045,127.9525
73,21395,원주그린솔라태양광,2.46375,강원,강원 원주시 부론면,37.207603,127.750496,TRUE,원주,114,37.33749,127.94659,이천,203,37.26399,127.48421,충주,127,36.97045,127.9525
74,355,솔라파크원주태양광,1.91808,강원,강원 원주시 부론면,37.207603,127.750496,TRUE,원주,114,37.33749,127.94659,이천,203,37.26399,127.48421,충주,127,36.97045,127.9525
