,Number,Address,Latitude and Longitude,Capacity
258,2183,일지테크경주공장태양광,경북 경주시 외동읍,0.65246
259,40623,도개2호태양광발전소,경북 구미시 도개면,0.99495
260,17243,도개솔라파크2,경북 구미시 도개면,0.099
261,17248,도개솔라파크8,경북 구미시 도개면,0.09984
262,1206,도개태양광1호,경북 구미시 도개면,1.99764
263,72465,훈민2태양광발전소,경북 문경시 산양면,0.44928
264,17356,도덕태양광발전소,경북 의성군 안계면,0.1
265,1678,솔라테크상주태양광,경북 상주시 모동면,0.7
266,51583,일성전력태양광,경북 경주시 강동면,0.0416
267,51456,일광에너지영덕태양광,경북 영덕군 지품면,0.494
268,2176,일광2태양광,경북 성주군 수륜면,2.004
269,56507,더준태양광,경북 고령군 운수면,0.8413200000000001
270,71408,화서 태양광,경북 상주시 화서면,0.1989999999999999
271,6029,거창태양광,경북 상주시 공성면,0.92664
272,56486,화남제3태양광,경북 칠곡군 동명면,2.00232
273,15152,대명태양광,경북 성주군 대가면,0.6966
274,56361,주식회사 중앙시스템 태양광,경북 상주시 사벌면,0.8697600000000001
275,56487,화남제2태양광,경북 칠곡군 동명면,2.99376
276,56676,주원영양태양광#3 발전기,경북,0.6
