,date,hour,48683,4711,65561,56280,42342,18272,2065
122,20191206.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,20191206.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,20191206.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,20191206.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,20191206.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,20191206.0,8.0,0.024,0.0072,0.00072,0.00504,0.0076799999999999,0.00252,0.00468
128,20191206.0,9.0,0.3192,0.2142,0.03672,0.07488,0.1392,0.04248,0.0691919999999999
129,20191206.0,10.0,0.7416,0.387,0.07704,0.20232,0.26976,0.09108,0.199944
130,20191206.0,11.0,0.9288,0.5976,0.09576,0.2448,0.30912,0.10008,0.265248
131,20191206.0,12.0,1.2096,0.9252,0.14256,0.3744,0.4272,0.144,0.356472
132,20191206.0,13.0,1.2528,1.1322,0.22536,0.54864,0.42528,0.17352,0.341928
133,20191206.0,14.0,1.0584,0.9018,0.15912,0.3744,0.38688,0.14292,0.287856
134,20191206.0,15.0,1.356,0.7398,0.15444,0.37512,0.51552,0.16524,0.410328
135,20191206.0,16.0,0.6288,0.4482,0.08784,0.20808,0.216,0.09432,0.22176
136,20191206.0,17.0,0.1272,0.0702,0.01152,0.02808,0.03744,0.01476,0.031176
137,20191206.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2e-05
138,20191206.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,20191206.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,20191206.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,20191206.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,20191206.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,20191206.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,20191207.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,20191207.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,20191207.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,20191207.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,20191207.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,20191207.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,20191207.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,20191207.0,8.0,0.0528,0.0126,0.00072,0.00648,0.01824,0.00468,0.005832
152,20191207.0,9.0,0.4368,0.27,0.05436,0.0756,0.2016,0.04716,0.059616
153,20191207.0,10.0,1.2384,0.693,0.15048,0.38448,0.4416,0.15228,0.35244
154,20191207.0,11.0,1.8696,0.9954,0.20844,0.54864,0.61632,0.2052,0.535752
155,20191207.0,12.0,2.1264,1.1448,0.24012,0.61632,0.72768,0.27288,0.6012
156,20191207.0,13.0,2.1576,1.1682,0.24804,0.6350399999999999,0.7622399999999999,0.28044,0.6159600000000001
157,20191207.0,14.0,1.9752,1.0854,0.23076,0.5904,0.7104,0.25236,0.575712
158,20191207.0,15.0,1.5192,0.8604,0.18684,0.4752,0.5664,0.198,0.463824
159,20191207.0,16.0,0.6456,0.45,0.07812,0.2196,0.21408,0.10116,0.2394
160,20191207.0,17.0,0.1152,0.0522,0.0075599999999999,0.02448,0.02976,0.0108,0.026136
161,20191207.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000144
162,20191207.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,20191207.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,20191207.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,20191207.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,20191207.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,20191207.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,20191208.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,20191208.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,20191208.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,20191208.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,20191208.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,20191208.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,20191208.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,20191208.0,8.0,0.0456,0.0126,0.00144,0.00936,0.0163199999999999,0.00504,0.006336
176,20191208.0,9.0,0.3936,0.2322,0.04968,0.08136,0.17088,0.045,0.06372
177,20191208.0,10.0,1.1448,0.6372,0.13968,0.35352,0.40608,0.14436,0.326232
178,20191208.0,11.0,1.824,0.9342,0.20052,0.5241600000000001,0.60192,0.19656,0.520416
179,20191208.0,12.0,2.0712,1.0944,0.2304,0.5918399999999999,0.70176,0.25884,0.599688
180,20191208.0,13.0,2.0928,1.1304,0.2358,0.5925600000000001,0.72672,0.26604,0.600264
181,20191208.0,14.0,1.956,1.0458,0.22032,0.54432,0.6873600000000001,0.2412,0.5496479999999999
182,20191208.0,15.0,1.548,0.8334,0.1746,0.4392,0.5433600000000001,0.19296,0.446544
183,20191208.0,16.0,0.6408,0.441,0.0936,0.22104,0.20544,0.09936,0.23184
184,20191208.0,17.0,0.1608,0.0684,0.01152,0.0252,0.03456,0.0151199999999999,0.02628
185,20191208.0,18.0,0.0,0.0,0.0,0.0,0.00096,0.0,0.000288
186,20191208.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,20191208.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,20191208.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,20191208.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,20191208.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,20191208.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,20191209.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,20191209.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,20191209.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,20191209.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,20191209.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,20191209.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,20191209.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,20191209.0,8.0,0.0432,0.0126,0.00108,0.0072,0.01536,0.00432,0.006048
200,20191209.0,9.0,0.384,0.2502,0.0504,0.07272,0.17568,0.04176,0.059904
201,20191209.0,10.0,1.1256,0.657,0.14436,0.3492,0.40896,0.14148,0.318816
202,20191209.0,11.0,1.7856,0.9306,0.19872,0.51912,0.59424,0.19368,0.5129279999999999
