,번호,발전기명,설비용량(MW),광역지역,세부지역,latitude,longitude
105,16953,덕수태양광발전소,0.29565,제주,제주 서귀포시 안덕면,33.257626,126.33067
106,1966,영락태양광,0.302,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
107,60260,청담쏠라 태양광발전소,0.1971,제주,제주특별자치도 서귀포시 대정읍,33.22667,126.25181599999999
108,1031,남정수상상모#1,0.254,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
109,24575,백일에너지태양광,0.096,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
110,56268,하천리상동2호 태양광발전소,0.2482,제주,제주 서귀포시 표선면,33.326717,126.83098000000001
111,35978,승민태양광,0.2976,제주,제주 서귀포시 표선면,33.326717,126.83098000000001
112,56357,제주자연태양광,0.99234,제주,제주특별자치도 서귀포시 표선면,33.326717,126.83098000000001
113,60505,청솔태양광발전소,0.9990000000000001,제주,제주특별자치도 서귀포시 안덕면,33.257626,126.33067
114,48721,제주해냄태양광발전소,0.9936,제주,제주 서귀포시 표선면,33.326717,126.83098000000001
115,36319,시영태양광발전소,0.19872,제주,제주 서귀포시 남원읍,33.279884,126.720665
116,43313,영화에너지2호태양광,0.09936,제주,제주 서귀포시 표선면,33.326717,126.83098000000001
117,2070,주식회사원더풀태양광발전소가시리1호,0.9213,제주,제주 서귀포시 표선면,33.326717,126.83098000000001
118,12000,나민영태양광발전소,0.099,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
119,56295,유진2호,0.197625,제주,제주 서귀포시 표선면,33.326717,126.83098000000001
120,24577,백일태양광,0.096,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
121,13565,뉴럴태양광,0.04,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
122,43530,예스에너지태양광,0.099,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
123,38458,썬태양광,0.099,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
124,240,서민행복8호태양광,0.5,제주,제주 서귀포시 남원읍,33.279884,126.720665
125,1385,미래에너지제주태양광,2.99646,제주,제주 서귀포시 표선면,33.326717,126.83098000000001
126,54400,정포2호태양광,0.09906000000000001,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
127,52936,생물종다양성연구소 태양광발전,0.49973,제주,제주 서귀포시 남원읍,33.279884,126.720665
128,35053,수완태양광,0.099,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
129,1546,서광그린태양광,0.349,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
130,55170,제주무릉태양광#1,0.096,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
131,2133,은혜태양광,0.35,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
132,51120,인다2호태양광,0.099,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
133,55985,대명솔라1호에너지,0.47600000000000003,제주,제주 서귀포시 표선면,33.326717,126.83098000000001
134,44926,에스지태양광,0.09699999999999999,제주,제주 서귀포시 안덕면,33.257626,126.33067
135,19069,동화태양광,0.066,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
136,5611,강빛태양광,0.099,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
137,66051,한남태양광,0.29988000000000004,제주,제주 서귀포시 남원읍,33.279884,126.720665
138,65637,하천태양광,0.09954,제주,제주 서귀포시 표선면,33.326717,126.83098000000001
